flip_p,num_iter,accuracy,baseline_accuracy,clamped_accuracy,tall_accuracy,clamped_to_tall_improvement,baseline_to_tall_improvement,is_best
0.25,200,96.45,97.38,96.43,96.45,0.019999999999996,-0.9299999999999926,True
0.05,10,96.44,97.38,96.43,96.44,0.0099999999999909,-0.9399999999999976,False
0.1,10,96.43,97.38,96.43,96.43,0.0,-0.9499999999999886,False
0.15,100,96.43,97.38,96.43,96.43,0.0,-0.9499999999999886,False
0.1,20,96.42,97.38,96.43,96.42,-0.0100000000000051,-0.9599999999999936,False
0.1,50,96.42,97.38,96.43,96.42,-0.0100000000000051,-0.9599999999999936,False
0.1,200,96.42,97.38,96.43,96.42,-0.0100000000000051,-0.9599999999999936,False
0.15,50,96.42,97.38,96.43,96.42,-0.0100000000000051,-0.9599999999999936,False
0.05,5,96.41,97.38,96.43,96.41,-0.0200000000000102,-0.9699999999999988,False
0.05,50,96.41,97.38,96.43,96.41,-0.0200000000000102,-0.9699999999999988,False
