flip_p,1,5,10,20,30,40,50,100,200
0.05,97.12,97.34,97.26,97.28,97.34,97.29,97.3,97.27,97.3
0.1,96.64,97.24,97.13,97.23,97.26,97.26,97.29,97.27,97.31
0.15,96.25,97.01,97.12,97.24,97.21,97.33,97.31,97.32,97.29
0.2,94.81,96.92,97.19,97.08,97.2,97.27,97.29,97.26,97.33
0.25,91.5,96.7,97.03,97.16,97.14,97.22,97.22,97.2,97.31
0.3,83.49,96.1,96.92,97.02,97.19,97.14,97.21,97.31,97.27
0.35,67.07,94.7,96.28,96.94,97.11,97.03,97.04,97.15,97.23
0.4,45.92,85.87,93.97,96.21,96.61,96.89,96.86,96.94,97.19
0.45,24.32,49.98,69.24,85.22,91.38,93.73,94.8,96.43,97.07
