flip_p,num_iter,accuracy,baseline_accuracy,clamped_accuracy,tall_accuracy,clamped_to_tall_improvement,baseline_to_tall_improvement,is_best
0.05,5,97.34,97.38,97.34,97.34,0.0,-0.039999999999992,True
0.05,30,97.34,97.38,97.34,97.34,0.0,-0.039999999999992,False
0.15,40,97.33,97.38,97.34,97.33,-0.0100000000000051,-0.0499999999999971,False
0.2,200,97.33,97.38,97.34,97.33,-0.0100000000000051,-0.0499999999999971,False
0.15,100,97.32,97.38,97.34,97.32,-0.0200000000000102,-0.0600000000000022,False
0.1,200,97.31,97.38,97.34,97.31,-0.0300000000000011,-0.0699999999999931,False
0.15,50,97.31,97.38,97.34,97.31,-0.0300000000000011,-0.0699999999999931,False
0.25,200,97.31,97.38,97.34,97.31,-0.0300000000000011,-0.0699999999999931,False
0.3,100,97.31,97.38,97.34,97.31,-0.0300000000000011,-0.0699999999999931,False
0.05,50,97.3,97.38,97.34,97.3,-0.0400000000000062,-0.0799999999999983,False
