flip_p,1,5,10,20,30,40,50,100,200
0.05,96.1,96.41,96.44,96.4,96.35,96.4,96.41,96.37,96.41
0.1,95.66,96.29,96.43,96.42,96.41,96.4,96.42,96.41,96.42
0.15,94.97,96.19,96.14,96.26,96.38,96.4,96.42,96.43,96.38
0.2,93.25,96.06,96.22,96.34,96.4,96.28,96.38,96.41,96.38
0.25,89.46,95.94,96.13,96.26,96.24,96.22,96.24,96.37,96.45
0.3,81.16,94.9,95.99,96.01,96.12,96.14,96.25,96.35,96.39
0.35,64.71,93.12,95.37,95.89,95.82,96.12,96.11,96.21,96.34
0.4,44.65,83.32,92.14,94.74,95.41,95.88,95.79,95.97,96.16
0.45,23.68,48.76,67.42,82.91,89.04,91.45,93.3,95.48,95.96
