flip_p,1,5,10,20,30,40,50,100,200
0.05,-0.2199999999999988,-0.0999999999999943,-0.0799999999999983,-0.1499999999999914,-0.0899999999999892,-0.0799999999999983,-0.1299999999999954,-0.0799999999999983,-0.1099999999999994
0.1,-0.5699999999999932,-0.2299999999999897,-0.1999999999999886,-0.0899999999999892,-0.1299999999999954,-0.0999999999999943,-0.0899999999999892,-0.1400000000000005,-0.1199999999999903
0.15,-1.3299999999999983,-0.2800000000000011,-0.289999999999992,-0.019999999999996,-0.1400000000000005,-0.1299999999999954,-0.0999999999999943,-0.0699999999999931,-0.0699999999999931
0.2,-2.539999999999992,-0.4399999999999977,-0.2199999999999988,-0.1999999999999886,-0.0600000000000022,-0.039999999999992,-0.1400000000000005,-0.0999999999999943,-0.0899999999999892
0.25,-5.780000000000001,-0.6999999999999886,-0.4099999999999966,-0.2199999999999988,-0.1799999999999926,-0.1299999999999954,-0.1199999999999903,-0.1999999999999886,-0.0899999999999892
0.3,-14.209999999999994,-1.2399999999999949,-0.4699999999999988,-0.3799999999999954,-0.289999999999992,-0.2299999999999897,-0.1599999999999966,0.0300000000000011,-0.0999999999999943
0.35,-30.0,-2.6899999999999977,-1.1400000000000006,-0.6400000000000006,-0.1999999999999886,-0.1799999999999926,-0.2099999999999937,-0.1899999999999977,-0.0300000000000011
0.4,-51.63999999999999,-11.170000000000002,-3.6599999999999966,-1.3399999999999892,-0.8299999999999983,-0.5899999999999892,-0.5600000000000023,-0.2800000000000011,-0.1899999999999977
0.45,-73.16,-47.05,-28.459999999999997,-12.179999999999993,-6.310000000000002,-3.7299999999999898,-2.6099999999999994,-0.9799999999999898,-0.4699999999999988
