flip_p,num_iter,accuracy,baseline_accuracy,clamped_accuracy,tall_accuracy,clamped_to_tall_improvement,baseline_to_tall_improvement,is_best
0.1,1,85.94,36.07,33.9,85.94,52.04,49.87,False
0.4,40,85.8,36.07,33.9,85.8,51.9,49.73,False
0.4,30,82.73,36.07,33.9,82.73,48.830000000000005,46.660000000000004,False
0.45,100,80.79,36.07,33.9,80.79,46.89000000000001,44.720000000000006,False
0.3,5,79.87,36.07,33.9,79.87,45.970000000000006,43.800000000000004,False
0.35,10,79.71,36.07,33.9,79.71,45.809999999999995,43.63999999999999,False
0.15,1,78.93,36.07,33.9,78.93,45.03000000000001,42.86000000000001,False
0.4,20,78.14,36.07,33.9,78.14,44.24,42.07,False
0.2,1,69.92,36.07,33.9,69.92,36.02,33.85,False
0.45,50,68.7,36.07,33.9,68.7,34.800000000000004,32.63,False
0.35,5,67.26,36.07,33.9,67.26,33.36000000000001,31.190000000000005,False
0.4,10,64.07,36.07,33.9,64.07,30.169999999999995,27.999999999999993,False
0.45,40,63.76,36.07,33.9,63.76,29.86,27.689999999999998,False
0.25,1,59.97,36.07,33.9,59.97,26.07,23.9,False
0.45,30,57.4,36.07,33.9,57.4,23.5,21.33,False
0.4,5,49.33,36.07,33.9,49.33,15.43,13.259999999999998,False
0.45,20,48.36,36.07,33.9,48.36,14.46,12.29,False
0.3,1,46.88,36.07,33.9,46.88,12.980000000000004,10.810000000000002,False
0.45,10,35.84,36.07,33.9,35.84,1.9400000000000048,-0.22999999999999687,False
0.35,1,35.09,36.07,33.9,35.09,1.1900000000000048,-0.9799999999999969,False
0.45,5,26.44,36.07,33.9,26.44,-7.459999999999997,-9.629999999999999,False
0.4,1,24.98,36.07,33.9,24.98,-8.919999999999998,-11.09,False
0.45,1,17.41,36.07,33.9,17.41,-16.49,-18.66,False
