flip_p,num_iter,accuracy,baseline_accuracy,clamped_accuracy,tall_accuracy,clamped_to_tall_improvement,baseline_to_tall_improvement,is_best
0.15,100,93.38,36.07,33.9,93.38,59.48,57.309999999999995,True
0.05,100,93.36,36.07,33.9,93.36,59.46,57.29,False
0.1,200,93.35,36.07,33.9,93.35,59.449999999999996,57.279999999999994,False
0.1,40,93.33,36.07,33.9,93.33,59.43,57.26,False
0.05,30,93.32,36.07,33.9,93.32,59.419999999999995,57.24999999999999,False
0.05,200,93.32,36.07,33.9,93.32,59.419999999999995,57.24999999999999,False
0.05,50,93.31,36.07,33.9,93.31,59.410000000000004,57.24,False
0.2,100,93.3,36.07,33.9,93.3,59.4,57.23,False
0.1,100,93.28,36.07,33.9,93.28,59.38,57.21,False
0.05,20,93.27,36.07,33.9,93.27,59.37,57.199999999999996,False
0.05,40,93.27,36.07,33.9,93.27,59.37,57.199999999999996,False
0.15,200,93.26,36.07,33.9,93.26,59.36000000000001,57.190000000000005,False
0.25,200,93.23,36.07,33.9,93.23,59.330000000000005,57.160000000000004,False
0.1,30,93.22,36.07,33.9,93.22,59.32,57.15,False
0.2,200,93.21,36.07,33.9,93.21,59.309999999999995,57.13999999999999,False
0.15,50,93.18,36.07,33.9,93.18,59.28000000000001,57.11000000000001,False
0.1,50,93.17,36.07,33.9,93.17,59.27,57.1,False
0.1,20,93.11,36.07,33.9,93.11,59.21,57.04,False
0.3,200,93.11,36.07,33.9,93.11,59.21,57.04,False
0.15,30,93.07,36.07,33.9,93.07,59.169999999999995,56.99999999999999,False
0.2,50,93.06,36.07,33.9,93.06,59.160000000000004,56.99,False
0.25,100,93.04,36.07,33.9,93.04,59.14000000000001,56.970000000000006,False
0.05,5,93.02,36.07,33.9,93.02,59.12,56.949999999999996,False
0.15,40,93.0,36.07,33.9,93.0,59.1,56.93,False
0.05,10,92.95,36.07,33.9,92.95,59.050000000000004,56.88,False
0.2,40,92.9,36.07,33.9,92.9,59.00000000000001,56.830000000000005,False
0.3,100,92.88,36.07,33.9,92.88,58.98,56.809999999999995,False
0.1,10,92.86,36.07,33.9,92.86,58.96,56.79,False
0.2,30,92.82,36.07,33.9,92.82,58.919999999999995,56.74999999999999,False
0.25,40,92.82,36.07,33.9,92.82,58.919999999999995,56.74999999999999,False
0.35,200,92.76,36.07,33.9,92.76,58.86000000000001,56.690000000000005,False
0.15,20,92.74,36.07,33.9,92.74,58.839999999999996,56.669999999999995,False
0.25,50,92.67,36.07,33.9,92.67,58.77,56.6,False
0.2,20,92.61,36.07,33.9,92.61,58.71,56.54,False
0.3,50,92.45,36.07,33.9,92.45,58.550000000000004,56.38,False
0.1,5,92.35,36.07,33.9,92.35,58.449999999999996,56.279999999999994,False
0.35,100,92.35,36.07,33.9,92.35,58.449999999999996,56.279999999999994,False
0.4,200,92.28,36.07,33.9,92.28,58.38,56.21,False
0.15,10,92.25,36.07,33.9,92.25,58.35,56.18,False
0.25,30,92.25,36.07,33.9,92.25,58.35,56.18,False
0.25,20,91.81,36.07,33.9,91.81,57.910000000000004,55.74,False
0.3,40,91.81,36.07,33.9,91.81,57.910000000000004,55.74,False
0.3,30,91.5,36.07,33.9,91.5,57.6,55.43,False
0.2,10,91.45,36.07,33.9,91.45,57.550000000000004,55.38,False
0.35,50,91.26,36.07,33.9,91.26,57.36000000000001,55.190000000000005,False
0.15,5,90.9,36.07,33.9,90.9,57.00000000000001,54.830000000000005,False
0.05,1,90.82,36.07,33.9,90.82,56.919999999999995,54.74999999999999,False
0.3,20,90.71,36.07,33.9,90.71,56.809999999999995,54.63999999999999,False
0.35,40,90.68,36.07,33.9,90.68,56.78000000000001,54.61000000000001,False
0.4,100,90.64,36.07,33.9,90.64,56.74,54.57,False
0.25,10,90.3,36.07,33.9,90.3,56.4,54.23,False
0.35,30,89.23,36.07,33.9,89.23,55.330000000000005,53.160000000000004,False
0.2,5,89.09,36.07,33.9,89.09,55.190000000000005,53.02,False
0.4,50,87.79,36.07,33.9,87.79,53.89000000000001,51.720000000000006,False
0.35,20,87.62,36.07,33.9,87.62,53.720000000000006,51.550000000000004,False
0.45,200,87.51,36.07,33.9,87.51,53.61000000000001,51.440000000000005,False
0.3,10,86.61,36.07,33.9,86.61,52.71,50.54,False
0.25,5,85.96,36.07,33.9,85.96,52.059999999999995,49.88999999999999,False
