flip_p,num_iter,accuracy,baseline_accuracy,clamped_accuracy,tall_accuracy,clamped_to_tall_improvement,baseline_to_tall_improvement,is_best
0.15,40,89.0,52.17,29.54,89.0,59.46,36.83,True
0.15,30,88.99,52.17,29.54,88.99,59.449999999999996,36.81999999999999,False
0.05,20,88.97,52.17,29.54,88.97,59.43,36.8,False
0.05,200,88.95,52.17,29.54,88.95,59.410000000000004,36.78,False
0.15,100,88.92,52.17,29.54,88.92,59.38,36.75,False
0.2,50,88.87,52.17,29.54,88.87,59.330000000000005,36.7,False
0.05,50,88.86,52.17,29.54,88.86,59.32,36.69,False
0.1,100,88.86,52.17,29.54,88.86,59.32,36.69,False
0.1,200,88.86,52.17,29.54,88.86,59.32,36.69,False
0.15,200,88.86,52.17,29.54,88.86,59.32,36.69,False
0.35,200,88.86,52.17,29.54,88.86,59.32,36.69,False
0.05,40,88.84,52.17,29.54,88.84,59.300000000000004,36.67,False
0.05,100,88.84,52.17,29.54,88.84,59.300000000000004,36.67,False
0.1,20,88.82,52.17,29.54,88.82,59.279999999999994,36.64999999999999,False
0.05,10,88.81,52.17,29.54,88.81,59.27,36.64,False
0.1,40,88.78,52.17,29.54,88.78,59.24,36.61,False
0.1,50,88.77,52.17,29.54,88.77,59.23,36.599999999999994,False
0.15,50,88.77,52.17,29.54,88.77,59.23,36.599999999999994,False
0.2,20,88.77,52.17,29.54,88.77,59.23,36.599999999999994,False
0.3,200,88.77,52.17,29.54,88.77,59.23,36.599999999999994,False
0.05,5,88.76,52.17,29.54,88.76,59.220000000000006,36.59,False
0.05,30,88.76,52.17,29.54,88.76,59.220000000000006,36.59,False
0.1,30,88.75,52.17,29.54,88.75,59.21,36.58,False
0.2,100,88.73,52.17,29.54,88.73,59.190000000000005,36.56,False
0.25,50,88.73,52.17,29.54,88.73,59.190000000000005,36.56,False
0.15,20,88.72,52.17,29.54,88.72,59.18,36.55,False
0.2,200,88.72,52.17,29.54,88.72,59.18,36.55,False
0.1,10,88.7,52.17,29.54,88.7,59.160000000000004,36.53,False
0.3,100,88.7,52.17,29.54,88.7,59.160000000000004,36.53,False
0.25,200,88.69,52.17,29.54,88.69,59.15,36.519999999999996,False
0.25,40,88.67,52.17,29.54,88.67,59.13,36.5,False
0.2,30,88.66,52.17,29.54,88.66,59.12,36.489999999999995,False
0.2,40,88.65,52.17,29.54,88.65,59.11000000000001,36.480000000000004,False
0.25,100,88.65,52.17,29.54,88.65,59.11000000000001,36.480000000000004,False
0.3,50,88.53,52.17,29.54,88.53,58.99,36.36,False
0.3,40,88.52,52.17,29.54,88.52,58.98,36.349999999999994,False
0.15,10,88.5,52.17,29.54,88.5,58.96,36.33,False
0.1,5,88.49,52.17,29.54,88.49,58.949999999999996,36.31999999999999,False
0.35,100,88.45,52.17,29.54,88.45,58.910000000000004,36.28,False
0.25,30,88.44,52.17,29.54,88.44,58.9,36.269999999999996,False
0.3,30,88.44,52.17,29.54,88.44,58.9,36.269999999999996,False
0.25,20,88.43,52.17,29.54,88.43,58.89000000000001,36.260000000000005,False
0.15,5,88.4,52.17,29.54,88.4,58.86000000000001,36.230000000000004,False
0.35,40,88.34,52.17,29.54,88.34,58.800000000000004,36.17,False
0.4,200,88.31,52.17,29.54,88.31,58.77,36.14,False
0.2,10,88.27,52.17,29.54,88.27,58.73,36.099999999999994,False
0.35,50,88.23,52.17,29.54,88.23,58.690000000000005,36.06,False
0.05,1,88.1,52.17,29.54,88.1,58.559999999999995,35.92999999999999,False
0.4,100,88.07,52.17,29.54,88.07,58.529999999999994,35.89999999999999,False
0.35,30,87.92,52.17,29.54,87.92,58.38,35.75,False
0.2,5,87.81,52.17,29.54,87.81,58.27,35.64,False
0.25,10,87.81,52.17,29.54,87.81,58.27,35.64,False
0.3,20,87.81,52.17,29.54,87.81,58.27,35.64,False
0.4,50,87.36,52.17,29.54,87.36,57.82,35.19,False
0.35,20,87.25,52.17,29.54,87.25,57.71,35.08,False
0.45,200,87.23,52.17,29.54,87.23,57.690000000000005,35.06,False
0.4,40,87.21,52.17,29.54,87.21,57.669999999999995,35.03999999999999,False
0.1,1,87.1,52.17,29.54,87.1,57.559999999999995,34.92999999999999,False
0.3,10,86.89,52.17,29.54,86.89,57.35,34.72,False
0.25,5,86.75,52.17,29.54,86.75,57.21,34.58,False
0.4,30,85.94,52.17,29.54,85.94,56.4,33.769999999999996,False
0.35,10,85.84,52.17,29.54,85.84,56.300000000000004,33.67,False
0.45,100,85.56,52.17,29.54,85.56,56.02,33.39,False
0.15,1,85.01,52.17,29.54,85.01,55.470000000000006,32.84,False
0.3,5,84.99,52.17,29.54,84.99,55.449999999999996,32.81999999999999,False
0.4,20,84.87,52.17,29.54,84.87,55.330000000000005,32.7,False
0.2,1,81.35,52.17,29.54,81.35,51.809999999999995,29.179999999999993,False
0.45,50,81.21,52.17,29.54,81.21,51.669999999999995,29.039999999999992,False
0.35,5,80.91,52.17,29.54,80.91,51.37,28.739999999999995,False
0.4,10,78.94,52.17,29.54,78.94,49.4,26.769999999999996,False
0.45,40,78.54,52.17,29.54,78.54,49.00000000000001,26.370000000000005,False
0.25,1,75.84,52.17,29.54,75.84,46.300000000000004,23.67,False
0.45,30,75.5,52.17,29.54,75.5,45.96,23.33,False
0.4,5,68.51,52.17,29.54,68.51,38.970000000000006,16.340000000000003,False
0.45,20,68.12,52.17,29.54,68.12,38.580000000000005,15.950000000000003,False
0.3,1,67.1,52.17,29.54,67.1,37.559999999999995,14.929999999999993,False
0.45,10,53.97,52.17,29.54,53.97,24.43,1.7999999999999972,False
0.35,1,52.11,52.17,29.54,52.11,22.57,-0.060000000000002274,False
0.45,5,39.79,52.17,29.54,39.79,10.25,-12.380000000000003,False
0.4,1,36.55,52.17,29.54,36.55,7.009999999999998,-15.620000000000005,False
0.45,1,20.79,52.17,29.54,20.79,-8.75,-31.380000000000003,False
