flip_p,num_iter,accuracy,baseline_accuracy,clamped_accuracy,tall_accuracy,clamped_to_tall_improvement,baseline_to_tall_improvement,is_best
0.05,40,63.55,94.37,62.95,63.55,0.5999999999999943,-30.820000000000007,True
0.1,200,63.46,94.37,62.95,63.46,0.509999999999998,-30.910000000000004,False
0.15,200,63.43,94.37,62.95,63.43,0.4799999999999969,-30.940000000000005,False
0.05,30,63.4,94.37,62.95,63.4,0.44999999999999574,-30.970000000000006,False
0.05,200,63.39,94.37,62.95,63.39,0.4399999999999977,-30.980000000000004,False
0.1,50,63.33,94.37,62.95,63.33,0.37999999999999545,-31.040000000000006,False
0.1,100,63.33,94.37,62.95,63.33,0.37999999999999545,-31.040000000000006,False
0.05,50,63.31,94.37,62.95,63.31,0.35999999999999943,-31.060000000000002,False
0.05,20,63.29,94.37,62.95,63.29,0.3399999999999963,-31.080000000000005,False
0.15,40,63.26,94.37,62.95,63.26,0.30999999999999517,-31.110000000000007,False
0.2,100,63.25,94.37,62.95,63.25,0.29999999999999716,-31.120000000000005,False
0.05,5,63.23,94.37,62.95,63.23,0.27999999999999403,-31.140000000000008,False
0.1,30,63.19,94.37,62.95,63.19,0.23999999999999488,-31.180000000000007,False
0.05,10,63.15,94.37,62.95,63.15,0.19999999999999574,-31.220000000000006,False
0.1,40,63.12,94.37,62.95,63.12,0.1699999999999946,-31.250000000000007,False
0.15,100,63.11,94.37,62.95,63.11,0.1599999999999966,-31.260000000000005,False
0.2,200,63.1,94.37,62.95,63.1,0.14999999999999858,-31.270000000000003,False
0.3,200,63.05,94.37,62.95,63.05,0.09999999999999432,-31.320000000000007,False
0.15,50,63.04,94.37,62.95,63.04,0.0899999999999963,-31.330000000000005,False
0.2,50,63.04,94.37,62.95,63.04,0.0899999999999963,-31.330000000000005,False
0.25,100,63.02,94.37,62.95,63.02,0.07000000000000028,-31.35,False
0.05,100,62.98,94.37,62.95,62.98,0.02999999999999403,-31.390000000000008,False
0.3,100,62.9,94.37,62.95,62.9,-0.05000000000000426,-31.470000000000006,False
0.15,30,62.82,94.37,62.95,62.82,-0.13000000000000256,-31.550000000000004,False
0.1,20,62.78,94.37,62.95,62.78,-0.1700000000000017,-31.590000000000003,False
0.1,10,62.76,94.37,62.95,62.76,-0.19000000000000483,-31.610000000000007,False
0.2,30,62.75,94.37,62.95,62.75,-0.20000000000000284,-31.620000000000005,False
0.25,200,62.75,94.37,62.95,62.75,-0.20000000000000284,-31.620000000000005,False
0.2,40,62.66,94.37,62.95,62.66,-0.29000000000000625,-31.710000000000008,False
0.15,20,62.62,94.37,62.95,62.62,-0.3300000000000054,-31.750000000000007,False
0.35,200,62.62,94.37,62.95,62.62,-0.3300000000000054,-31.750000000000007,False
0.25,50,62.44,94.37,62.95,62.44,-0.5100000000000051,-31.930000000000007,False
0.25,40,62.17,94.37,62.95,62.17,-0.7800000000000011,-32.2,False
0.25,30,62.11,94.37,62.95,62.11,-0.8400000000000034,-32.260000000000005,False
0.15,10,62.09,94.37,62.95,62.09,-0.8599999999999994,-32.28,False
0.1,5,62.02,94.37,62.95,62.02,-0.9299999999999997,-32.35,False
0.3,50,62.0,94.37,62.95,62.0,-0.9500000000000028,-32.370000000000005,False
0.3,40,61.98,94.37,62.95,61.98,-0.970000000000006,-32.39000000000001,False
0.35,100,61.74,94.37,62.95,61.74,-1.2100000000000009,-32.63,False
0.4,200,61.57,94.37,62.95,61.57,-1.3800000000000026,-32.800000000000004,False
0.2,20,61.54,94.37,62.95,61.54,-1.4100000000000037,-32.830000000000005,False
0.25,20,61.34,94.37,62.95,61.34,-1.6099999999999994,-33.03,False
0.3,30,61.2,94.37,62.95,61.2,-1.75,-33.17,False
0.35,50,61.17,94.37,62.95,61.17,-1.7800000000000011,-33.2,False
0.2,10,61.06,94.37,62.95,61.06,-1.8900000000000006,-33.31,False
0.15,5,60.7,94.37,62.95,60.7,-2.25,-33.67,False
0.4,100,60.58,94.37,62.95,60.58,-2.3700000000000045,-33.790000000000006,False
0.35,40,60.57,94.37,62.95,60.57,-2.3800000000000026,-33.800000000000004,False
0.05,1,60.31,94.37,62.95,60.31,-2.6400000000000006,-34.06,False
0.3,20,59.69,94.37,62.95,59.69,-3.260000000000005,-34.68000000000001,False
0.35,30,59.35,94.37,62.95,59.35,-3.6000000000000014,-35.02,False
0.25,10,59.22,94.37,62.95,59.22,-3.730000000000004,-35.150000000000006,False
0.2,5,59.09,94.37,62.95,59.09,-3.8599999999999994,-35.28,False
0.4,50,57.7,94.37,62.95,57.7,-5.25,-36.67,False
0.45,200,57.42,94.37,62.95,57.42,-5.530000000000001,-36.95,False
0.35,20,57.08,94.37,62.95,57.08,-5.8700000000000045,-37.290000000000006,False
0.3,10,56.89,94.37,62.95,56.89,-6.060000000000002,-37.480000000000004,False
0.1,1,56.66,94.37,62.95,56.66,-6.290000000000006,-37.71000000000001,False
0.4,40,56.18,94.37,62.95,56.18,-6.770000000000003,-38.190000000000005,False
0.25,5,55.21,94.37,62.95,55.21,-7.740000000000002,-39.160000000000004,False
0.4,30,54.28,94.37,62.95,54.28,-8.670000000000002,-40.09,False
0.35,10,52.76,94.37,62.95,52.76,-10.190000000000005,-41.61000000000001,False
0.45,100,52.55,94.37,62.95,52.55,-10.400000000000006,-41.82000000000001,False
0.15,1,52.01,94.37,62.95,52.01,-10.940000000000005,-42.36000000000001,False
0.3,5,51.83,94.37,62.95,51.83,-11.120000000000005,-42.540000000000006,False
0.4,20,50.05,94.37,62.95,50.05,-12.900000000000006,-44.32000000000001,False
0.45,50,46.36,94.37,62.95,46.36,-16.590000000000003,-48.010000000000005,False
0.2,1,46.08,94.37,62.95,46.08,-16.870000000000005,-48.290000000000006,False
0.35,5,44.72,94.37,62.95,44.72,-18.230000000000004,-49.650000000000006,False
0.4,10,43.68,94.37,62.95,43.68,-19.270000000000003,-50.690000000000005,False
0.45,40,42.66,94.37,62.95,42.66,-20.290000000000006,-51.71000000000001,False
0.25,1,40.52,94.37,62.95,40.52,-22.43,-53.85,False
0.45,30,39.18,94.37,62.95,39.18,-23.770000000000003,-55.190000000000005,False
0.4,5,34.64,94.37,62.95,34.64,-28.310000000000002,-59.730000000000004,False
0.45,20,33.99,94.37,62.95,33.99,-28.96,-60.38,False
0.3,1,32.81,94.37,62.95,32.81,-30.14,-61.56,False
0.45,10,27.07,94.37,62.95,27.07,-35.88,-67.30000000000001,False
0.35,1,26.22,94.37,62.95,26.22,-36.730000000000004,-68.15,False
0.45,5,21.25,94.37,62.95,21.25,-41.7,-73.12,False
0.4,1,20.06,94.37,62.95,20.06,-42.89,-74.31,False
0.45,1,14.62,94.37,62.95,14.62,-48.330000000000005,-79.75,False
