flip_p,1,5,10,20,30,40,50,100,200
0.05,-9.28,-8.61999999999999,-8.569999999999993,-8.409999999999997,-8.61999999999999,-8.539999999999992,-8.519999999999996,-8.539999999999992,-8.429999999999993
0.1,-10.28,-8.89,-8.679999999999993,-8.560000000000002,-8.629999999999995,-8.599999999999994,-8.61,-8.519999999999996,-8.519999999999996
0.15,-12.36999999999999,-8.97999999999999,-8.879999999999995,-8.659999999999997,-8.39,-8.379999999999995,-8.61,-8.459999999999994,-8.519999999999996
0.2,-16.03,-9.569999999999991,-9.11,-8.61,-8.719999999999999,-8.72999999999999,-8.509999999999991,-8.649999999999991,-8.659999999999997
0.25,-21.539999999999992,-10.629999999999995,-9.569999999999991,-8.949999999999989,-8.939999999999998,-8.709999999999994,-8.649999999999991,-8.72999999999999,-8.689999999999998
0.3,-30.28,-12.39,-10.489999999999997,-9.569999999999991,-8.939999999999998,-8.86,-8.849999999999994,-8.679999999999993,-8.61
0.35,-45.27,-16.47,-11.539999999999992,-10.129999999999995,-9.459999999999994,-9.039999999999992,-9.149999999999991,-8.929999999999993,-8.519999999999996
0.4,-60.83,-28.86999999999999,-18.44,-12.509999999999993,-11.439999999999998,-10.170000000000002,-10.019999999999996,-9.310000000000002,-9.069999999999991
0.45,-76.59,-57.59,-43.41,-29.25999999999999,-21.879999999999995,-18.83999999999999,-16.17,-11.819999999999991,-10.149999999999991
